case_id,case_family,document_type,ambiguity_level,missingness_level,noise_level,conflict_level,document_complexity,domain_risk,evidence_strength,ambiguity_bucket,direct_hallucination,casulo_hallucination,hallucination_reduction,residual_delta_index,delta_control_score,evidence_coverage,invented_fields,unsupported_fields,decision
SEED-101-STOCH-0011-RULE_EXTRACTION,rule_extraction,policy,97,19,51,87,3,high,47,A4_extreme,100,40,60,57,82,42,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0012-SOFTWARE_REVIEW,software_review,repo_summary,63,65,39,23,5,medium,46,A3_high,100,32,68,56,88,42,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0013-PARSER_DOCUMENTAL,parser_documental,service_intake,8,4,73,44,5,medium,79,A0_very_low,56,18,38,17,88,76,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0014-AUDIT_DOCUMENTAL,audit_documental,policy_audit,86,90,78,99,5,high,12,A4_extreme,100,49,51,94,79,6,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0015-RULE_EXTRACTION,rule_extraction,policy,87,22,25,94,5,high,51,A4_extreme,100,44,56,57,83,47,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0016-SOFTWARE_REVIEW,software_review,repo_summary,10,19,39,43,4,medium,77,A0_very_low,68,22,46,24,90,75,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0017-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,70,70,88,44,4,low,32,A3_high,72,23,49,67,84,27,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0018-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,35,86,41,11,3,medium,45,A1_low,81,25,56,57,88,42,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0019-RULE_EXTRACTION,rule_extraction,policy,59,26,54,14,5,high,64,A2_medium,100,35,65,33,88,60,1,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0020-SOFTWARE_REVIEW,software_review,test_report,12,35,83,22,1,medium,66,A0_very_low,61,17,44,29,89,63,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0021-SOFTWARE_REVIEW,software_review,test_report,83,72,5,43,2,high,40,A4_extreme,100,34,66,68,87,37,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0022-AUDIT_DOCUMENTAL,audit_documental,policy_audit,70,75,68,40,3,medium,33,A3_high,99,31,68,68,85,28,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0023-RULE_EXTRACTION,rule_extraction,policy,44,86,46,51,4,medium,36,A2_medium,100,34,66,69,86,33,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0024-PARSER_DOCUMENTAL,parser_documental,service_intake,27,18,85,15,2,medium,71,A1_low,50,15,35,22,88,67,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0025-RULE_EXTRACTION,rule_extraction,policy,3,57,85,25,3,medium,58,A0_very_low,77,24,53,38,89,55,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0026-SOFTWARE_REVIEW,software_review,incident_log,69,71,40,38,3,high,40,A3_high,100,36,64,64,86,36,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0027-SOFTWARE_REVIEW,software_review,repo_summary,26,58,38,96,1,medium,48,A1_low,81,24,57,61,86,46,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0028-RULE_EXTRACTION,rule_extraction,policy,94,56,56,85,1,high,31,A4_extreme,100,38,62,75,82,26,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0029-PARSER_DOCUMENTAL,parser_documental,email_request,98,59,79,7,1,medium,37,A4_extreme,74,21,53,59,85,31,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0030-RULE_EXTRACTION,rule_extraction,acceptance_criteria,98,78,18,62,1,medium,29,A4_extreme,100,32,68,80,84,25,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0031-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,88,11,79,57,3,low,53,A4_extreme,64,20,44,44,83,47,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0032-SOFTWARE_REVIEW,software_review,release_notes,91,53,13,33,1,medium,47,A4_extreme,88,25,63,58,86,43,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0033-AUDIT_DOCUMENTAL,audit_documental,policy_audit,82,68,12,29,2,medium,43,A4_extreme,88,26,62,63,87,39,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0034-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,57,17,4,24,5,medium,74,A2_medium,77,25,52,29,89,72,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0035-PARSER_DOCUMENTAL,parser_documental,service_intake,42,65,16,73,4,low,47,A2_medium,62,20,42,62,87,45,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0036-PARSER_DOCUMENTAL,parser_documental,form_record,5,57,78,73,5,low,51,A0_very_low,60,20,40,51,87,48,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0037-SOFTWARE_REVIEW,software_review,repo_summary,96,17,89,7,1,high,54,A4_extreme,100,28,72,37,84,47,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0038-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,38,36,30,21,4,medium,67,A1_low,59,19,40,34,89,65,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0039-RULE_EXTRACTION,rule_extraction,business_rule_sheet,89,4,30,39,4,medium,66,A4_extreme,94,30,64,35,86,62,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0040-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,25,52,19,76,2,high,57,A1_low,87,26,61,52,88,55,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0041-SOFTWARE_REVIEW,software_review,repo_summary,24,35,96,3,2,high,64,A1_low,80,24,56,27,89,60,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0042-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,39,67,33,4,4,medium,55,A1_low,79,25,54,46,90,52,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0043-RULE_EXTRACTION,rule_extraction,acceptance_criteria,99,58,78,33,1,high,33,A4_extreme,100,36,64,65,83,27,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0044-PARSER_DOCUMENTAL,parser_documental,email_request,22,84,2,47,4,low,50,A1_low,56,18,38,60,89,49,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0045-PARSER_DOCUMENTAL,parser_documental,email_request,45,7,29,0,4,low,82,A2_medium,44,14,30,16,90,79,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0046-SOFTWARE_REVIEW,software_review,release_notes,13,93,23,53,4,high,44,A0_very_low,100,34,66,65,88,43,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0047-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,87,76,36,50,2,medium,32,A4_extreme,99,30,69,74,84,27,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0048-RULE_EXTRACTION,rule_extraction,procedure,29,53,67,5,1,medium,59,A1_low,70,20,50,37,89,56,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0049-SOFTWARE_REVIEW,software_review,incident_log,36,58,80,47,5,high,46,A1_low,100,38,62,53,86,42,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0050-RULE_EXTRACTION,rule_extraction,business_rule_sheet,61,31,98,17,4,medium,54,A3_high,96,30,66,38,86,49,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0051-PARSER_DOCUMENTAL,parser_documental,email_request,79,97,61,12,5,low,26,A3_high,76,24,52,74,84,21,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0052-RULE_EXTRACTION,rule_extraction,business_rule_sheet,44,48,21,97,1,medium,50,A2_medium,87,25,62,60,86,48,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0053-SOFTWARE_REVIEW,software_review,repo_summary,97,22,88,6,3,medium,52,A4_extreme,95,29,66,40,84,45,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0054-AUDIT_DOCUMENTAL,audit_documental,policy_audit,32,91,20,67,2,high,38,A1_low,100,30,70,72,86,36,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0055-PARSER_DOCUMENTAL,parser_documental,service_intake,24,17,6,71,2,medium,75,A1_low,50,15,35,33,89,74,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0056-AUDIT_DOCUMENTAL,audit_documental,policy_audit,61,63,39,23,2,medium,48,A3_high,82,24,58,54,88,44,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0057-SOFTWARE_REVIEW,software_review,release_notes,54,61,7,21,3,medium,55,A2_medium,82,25,57,50,89,53,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0058-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,85,0,0,41,1,medium,73,A4_extreme,68,19,49,31,87,70,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0059-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,81,20,92,52,2,medium,50,A4_extreme,89,27,62,46,83,44,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0060-AUDIT_DOCUMENTAL,audit_documental,policy_audit,98,74,42,44,4,high,30,A4_extreme,100,41,59,74,84,25,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0061-RULE_EXTRACTION,rule_extraction,procedure,37,36,66,54,2,medium,57,A1_low,83,25,58,43,86,54,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0062-SOFTWARE_REVIEW,software_review,incident_log,13,67,55,99,2,high,44,A0_very_low,100,31,69,64,86,42,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0063-SOFTWARE_REVIEW,software_review,test_report,63,73,26,16,1,medium,46,A3_high,81,23,58,58,88,43,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0064-SOFTWARE_REVIEW,software_review,test_report,99,1,38,22,5,medium,66,A4_extreme,95,31,64,32,85,61,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0065-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,90,78,45,78,1,low,24,A4_extreme,71,21,50,83,82,19,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0066-RULE_EXTRACTION,rule_extraction,policy,100,0,22,6,4,high,71,A4_extreme,100,33,67,27,87,66,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0067-SOFTWARE_REVIEW,software_review,test_report,89,19,29,46,2,medium,58,A4_extreme,87,26,61,44,85,54,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0068-SOFTWARE_REVIEW,software_review,release_notes,97,81,85,30,3,high,23,A4_extreme,100,42,58,75,82,17,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0069-PARSER_DOCUMENTAL,parser_documental,email_request,53,85,56,45,1,medium,34,A2_medium,70,20,50,69,85,30,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0070-PARSER_DOCUMENTAL,parser_documental,service_intake,9,46,44,73,3,low,60,A0_very_low,50,16,34,45,88,58,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0071-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,59,48,38,28,3,low,54,A2_medium,56,17,39,47,88,50,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0072-AUDIT_DOCUMENTAL,audit_documental,policy_audit,17,66,65,36,3,medium,51,A0_very_low,77,24,53,49,89,48,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0073-RULE_EXTRACTION,rule_extraction,acceptance_criteria,88,78,3,23,5,high,39,A4_extreme,100,43,57,68,87,35,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0074-RULE_EXTRACTION,rule_extraction,policy,47,72,43,95,2,high,36,A2_medium,100,36,64,73,85,33,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0075-SOFTWARE_REVIEW,software_review,release_notes,7,3,39,47,2,medium,84,A0_very_low,54,16,38,16,90,83,0,0,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0076-AUDIT_DOCUMENTAL,audit_documental,policy_audit,9,87,39,10,3,high,52,A0_very_low,84,26,58,50,90,50,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0077-RULE_EXTRACTION,rule_extraction,acceptance_criteria,2,93,28,30,1,medium,49,A0_very_low,71,20,51,56,89,48,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0078-SOFTWARE_REVIEW,software_review,test_report,10,58,43,97,1,high,51,A0_very_low,90,26,64,58,87,49,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0079-SOFTWARE_REVIEW,software_review,release_notes,91,42,93,53,1,medium,37,A4_extreme,99,29,70,60,82,31,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0080-RULE_EXTRACTION,rule_extraction,policy,70,60,98,92,1,high,27,A3_high,100,38,62,74,81,21,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0081-AUDIT_DOCUMENTAL,audit_documental,policy_audit,2,28,62,20,1,medium,75,A0_very_low,50,14,36,22,90,73,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0082-RULE_EXTRACTION,rule_extraction,acceptance_criteria,24,95,48,59,1,medium,36,A1_low,89,26,63,70,86,34,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0083-RULE_EXTRACTION,rule_extraction,procedure,87,20,11,96,2,high,54,A4_extreme,100,35,65,56,84,50,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0084-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,44,77,93,83,1,high,28,A2_medium,100,33,67,74,83,23,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0085-AUDIT_DOCUMENTAL,audit_documental,policy_audit,53,84,67,92,1,medium,26,A2_medium,97,29,68,81,82,22,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0086-AUDIT_DOCUMENTAL,audit_documental,policy_audit,61,10,93,49,2,high,59,A3_high,94,28,66,35,84,54,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0087-SOFTWARE_REVIEW,software_review,repo_summary,67,78,42,64,1,medium,33,A3_high,96,28,68,74,84,29,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0088-SOFTWARE_REVIEW,software_review,test_report,19,68,83,58,2,high,44,A0_very_low,100,30,70,56,87,41,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0089-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,23,13,85,57,2,low,68,A1_low,46,14,32,29,86,65,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0090-PARSER_DOCUMENTAL,parser_documental,form_record,66,92,81,77,1,low,19,A3_high,70,21,49,85,81,14,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0091-AUDIT_DOCUMENTAL,audit_documental,policy_audit,42,30,61,10,1,medium,66,A2_medium,62,17,45,30,89,62,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0092-AUDIT_DOCUMENTAL,audit_documental,policy_audit,63,71,57,14,3,medium,42,A3_high,89,27,62,57,87,38,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0093-RULE_EXTRACTION,rule_extraction,acceptance_criteria,37,22,6,77,4,medium,69,A1_low,84,27,57,40,88,67,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0094-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,1,4,15,91,1,low,83,A0_very_low,35,10,25,25,89,83,0,0,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0095-SOFTWARE_REVIEW,software_review,repo_summary,36,81,6,80,1,medium,42,A1_low,84,24,60,70,87,40,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0096-SOFTWARE_REVIEW,software_review,release_notes,55,82,34,98,1,high,30,A2_medium,100,34,66,81,83,27,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0097-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,91,43,56,73,5,medium,39,A4_extreme,100,36,64,65,83,34,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0098-AUDIT_DOCUMENTAL,audit_documental,policy_audit,23,80,56,54,3,medium,42,A1_low,85,26,59,62,87,39,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0099-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,100,4,23,57,4,high,62,A4_extreme,100,34,66,42,84,57,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0100-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,58,35,45,35,3,medium,58,A2_medium,65,20,45,42,87,54,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0101-SOFTWARE_REVIEW,software_review,incident_log,43,26,76,87,3,medium,54,A2_medium,91,28,63,48,84,50,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0102-RULE_EXTRACTION,rule_extraction,policy,29,13,52,96,5,high,65,A1_low,100,36,64,39,85,62,1,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0103-RULE_EXTRACTION,rule_extraction,acceptance_criteria,32,30,98,67,1,medium,54,A1_low,82,24,58,43,85,50,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0104-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,54,66,91,13,3,medium,42,A2_medium,89,27,62,53,86,37,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0105-PARSER_DOCUMENTAL,parser_documental,checklist,93,35,17,85,5,medium,46,A4_extreme,87,28,59,63,83,42,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0106-RULE_EXTRACTION,rule_extraction,procedure,68,8,70,13,3,medium,67,A3_high,83,25,58,26,86,62,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0107-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,63,10,31,2,3,high,75,A3_high,80,24,56,22,89,72,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0108-SOFTWARE_REVIEW,software_review,incident_log,8,28,62,100,4,high,62,A0_very_low,99,32,67,43,86,60,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0109-AUDIT_DOCUMENTAL,audit_documental,policy_audit,35,69,74,52,5,high,42,A1_low,100,37,63,59,86,38,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0110-SOFTWARE_REVIEW,software_review,test_report,62,86,14,31,3,high,40,A3_high,100,34,66,67,87,37,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0111-PARSER_DOCUMENTAL,parser_documental,checklist,3,35,55,61,3,medium,67,A0_very_low,55,17,38,35,89,65,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0112-SOFTWARE_REVIEW,software_review,release_notes,91,22,100,41,2,medium,47,A4_extreme,97,29,68,47,82,40,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0113-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,78,71,71,83,5,high,26,A3_high,100,45,55,78,82,21,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0114-RULE_EXTRACTION,rule_extraction,procedure,39,66,15,69,1,high,48,A1_low,99,28,71,61,88,46,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0115-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,47,41,79,93,2,high,44,A2_medium,100,32,68,58,83,40,0,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0116-RULE_EXTRACTION,rule_extraction,procedure,41,57,47,90,5,high,44,A2_medium,100,42,58,63,85,41,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0117-RULE_EXTRACTION,rule_extraction,acceptance_criteria,68,72,48,87,2,high,31,A3_high,100,39,61,77,83,27,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0118-RULE_EXTRACTION,rule_extraction,acceptance_criteria,21,74,65,82,4,high,40,A1_low,100,39,61,65,86,37,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0119-SOFTWARE_REVIEW,software_review,repo_summary,65,96,96,78,5,high,15,A3_high,100,49,51,87,80,10,1,2,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0120-PARSER_DOCUMENTAL,parser_documental,form_record,0,9,12,28,4,low,90,A0_very_low,36,11,25,12,92,90,0,0,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
SEED-101-STOCH-0121-AUDIT_DOCUMENTAL,audit_documental,policy_audit,7,0,95,100,2,medium,69,A0_very_low,68,20,48,30,85,66,0,1,CONTROLLED_OUTPUT_ALLOWED_PRODUCTION_BLOCKED
