case_id,case_family,document_type,ambiguity_level,missingness_level,noise_level,conflict_level,document_complexity,domain_risk,evidence_strength,synthetic_profile,blocked_outputs
STOCH-0014-AUDIT_DOCUMENTAL,audit_documental,policy_audit,86,90,78,99,5,high,12,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0015-RULE_EXTRACTION,rule_extraction,policy,87,22,25,94,5,high,51,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0016-SOFTWARE_REVIEW,software_review,repo_summary,10,19,39,43,4,medium,77,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0017-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,70,70,88,44,4,low,32,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0018-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,35,86,41,11,3,medium,45,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0019-RULE_EXTRACTION,rule_extraction,policy,59,26,54,14,5,high,64,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0020-SOFTWARE_REVIEW,software_review,test_report,12,35,83,22,1,medium,66,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0021-SOFTWARE_REVIEW,software_review,test_report,83,72,5,43,2,high,40,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0022-AUDIT_DOCUMENTAL,audit_documental,policy_audit,70,75,68,40,3,medium,33,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0023-RULE_EXTRACTION,rule_extraction,policy,44,86,46,51,4,medium,36,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0024-PARSER_DOCUMENTAL,parser_documental,service_intake,27,18,85,15,2,medium,71,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0025-RULE_EXTRACTION,rule_extraction,policy,3,57,85,25,3,medium,58,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0026-SOFTWARE_REVIEW,software_review,incident_log,69,71,40,38,3,high,40,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0027-SOFTWARE_REVIEW,software_review,repo_summary,26,58,38,96,1,medium,48,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0028-RULE_EXTRACTION,rule_extraction,policy,94,56,56,85,1,high,31,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0029-PARSER_DOCUMENTAL,parser_documental,email_request,98,59,79,7,1,medium,37,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0030-RULE_EXTRACTION,rule_extraction,acceptance_criteria,98,78,18,62,1,medium,29,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0031-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,88,11,79,57,3,low,53,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0032-SOFTWARE_REVIEW,software_review,release_notes,91,53,13,33,1,medium,47,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0033-AUDIT_DOCUMENTAL,audit_documental,policy_audit,82,68,12,29,2,medium,43,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0034-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,57,17,4,24,5,medium,74,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0035-PARSER_DOCUMENTAL,parser_documental,service_intake,42,65,16,73,4,low,47,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0036-PARSER_DOCUMENTAL,parser_documental,form_record,5,57,78,73,5,low,51,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0037-SOFTWARE_REVIEW,software_review,repo_summary,96,17,89,7,1,high,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0038-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,38,36,30,21,4,medium,67,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0039-RULE_EXTRACTION,rule_extraction,business_rule_sheet,89,4,30,39,4,medium,66,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0040-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,25,52,19,76,2,high,57,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0041-SOFTWARE_REVIEW,software_review,repo_summary,24,35,96,3,2,high,64,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0042-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,39,67,33,4,4,medium,55,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0043-RULE_EXTRACTION,rule_extraction,acceptance_criteria,99,58,78,33,1,high,33,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0044-PARSER_DOCUMENTAL,parser_documental,email_request,22,84,2,47,4,low,50,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0045-PARSER_DOCUMENTAL,parser_documental,email_request,45,7,29,0,4,low,82,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0046-SOFTWARE_REVIEW,software_review,release_notes,13,93,23,53,4,high,44,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0047-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,87,76,36,50,2,medium,32,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0048-RULE_EXTRACTION,rule_extraction,procedure,29,53,67,5,1,medium,59,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0049-SOFTWARE_REVIEW,software_review,incident_log,36,58,80,47,5,high,46,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0050-RULE_EXTRACTION,rule_extraction,business_rule_sheet,61,31,98,17,4,medium,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0051-PARSER_DOCUMENTAL,parser_documental,email_request,79,97,61,12,5,low,26,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0052-RULE_EXTRACTION,rule_extraction,business_rule_sheet,44,48,21,97,1,medium,50,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0053-SOFTWARE_REVIEW,software_review,repo_summary,97,22,88,6,3,medium,52,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0054-AUDIT_DOCUMENTAL,audit_documental,policy_audit,32,91,20,67,2,high,38,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0055-PARSER_DOCUMENTAL,parser_documental,service_intake,24,17,6,71,2,medium,75,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0056-AUDIT_DOCUMENTAL,audit_documental,policy_audit,61,63,39,23,2,medium,48,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0057-SOFTWARE_REVIEW,software_review,release_notes,54,61,7,21,3,medium,55,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0058-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,85,0,0,41,1,medium,73,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0059-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,81,20,92,52,2,medium,50,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0060-AUDIT_DOCUMENTAL,audit_documental,policy_audit,98,74,42,44,4,high,30,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0061-RULE_EXTRACTION,rule_extraction,procedure,37,36,66,54,2,medium,57,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0062-SOFTWARE_REVIEW,software_review,incident_log,13,67,55,99,2,high,44,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0063-SOFTWARE_REVIEW,software_review,test_report,63,73,26,16,1,medium,46,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0064-SOFTWARE_REVIEW,software_review,test_report,99,1,38,22,5,medium,66,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0065-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,90,78,45,78,1,low,24,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0066-RULE_EXTRACTION,rule_extraction,policy,100,0,22,6,4,high,71,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0067-SOFTWARE_REVIEW,software_review,test_report,89,19,29,46,2,medium,58,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0068-SOFTWARE_REVIEW,software_review,release_notes,97,81,85,30,3,high,23,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0069-PARSER_DOCUMENTAL,parser_documental,email_request,53,85,56,45,1,medium,34,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0070-PARSER_DOCUMENTAL,parser_documental,service_intake,9,46,44,73,3,low,60,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0071-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,59,48,38,28,3,low,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0072-AUDIT_DOCUMENTAL,audit_documental,policy_audit,17,66,65,36,3,medium,51,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0073-RULE_EXTRACTION,rule_extraction,acceptance_criteria,88,78,3,23,5,high,39,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0074-RULE_EXTRACTION,rule_extraction,policy,47,72,43,95,2,high,36,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0075-SOFTWARE_REVIEW,software_review,release_notes,7,3,39,47,2,medium,84,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0076-AUDIT_DOCUMENTAL,audit_documental,policy_audit,9,87,39,10,3,high,52,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0077-RULE_EXTRACTION,rule_extraction,acceptance_criteria,2,93,28,30,1,medium,49,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0078-SOFTWARE_REVIEW,software_review,test_report,10,58,43,97,1,high,51,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0079-SOFTWARE_REVIEW,software_review,release_notes,91,42,93,53,1,medium,37,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0080-RULE_EXTRACTION,rule_extraction,policy,70,60,98,92,1,high,27,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0081-AUDIT_DOCUMENTAL,audit_documental,policy_audit,2,28,62,20,1,medium,75,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0082-RULE_EXTRACTION,rule_extraction,acceptance_criteria,24,95,48,59,1,medium,36,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0083-RULE_EXTRACTION,rule_extraction,procedure,87,20,11,96,2,high,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0084-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,44,77,93,83,1,high,28,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0085-AUDIT_DOCUMENTAL,audit_documental,policy_audit,53,84,67,92,1,medium,26,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0086-AUDIT_DOCUMENTAL,audit_documental,policy_audit,61,10,93,49,2,high,59,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0087-SOFTWARE_REVIEW,software_review,repo_summary,67,78,42,64,1,medium,33,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0088-SOFTWARE_REVIEW,software_review,test_report,19,68,83,58,2,high,44,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0089-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,23,13,85,57,2,low,68,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0090-PARSER_DOCUMENTAL,parser_documental,form_record,66,92,81,77,1,low,19,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0091-AUDIT_DOCUMENTAL,audit_documental,policy_audit,42,30,61,10,1,medium,66,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0092-AUDIT_DOCUMENTAL,audit_documental,policy_audit,63,71,57,14,3,medium,42,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0093-RULE_EXTRACTION,rule_extraction,acceptance_criteria,37,22,6,77,4,medium,69,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0094-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,1,4,15,91,1,low,83,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0095-SOFTWARE_REVIEW,software_review,repo_summary,36,81,6,80,1,medium,42,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0096-SOFTWARE_REVIEW,software_review,release_notes,55,82,34,98,1,high,30,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0097-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,91,43,56,73,5,medium,39,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0098-AUDIT_DOCUMENTAL,audit_documental,policy_audit,23,80,56,54,3,medium,42,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0099-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,100,4,23,57,4,high,62,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0100-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,58,35,45,35,3,medium,58,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0101-SOFTWARE_REVIEW,software_review,incident_log,43,26,76,87,3,medium,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0102-RULE_EXTRACTION,rule_extraction,policy,29,13,52,96,5,high,65,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0103-RULE_EXTRACTION,rule_extraction,acceptance_criteria,32,30,98,67,1,medium,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0104-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,54,66,91,13,3,medium,42,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0105-PARSER_DOCUMENTAL,parser_documental,checklist,93,35,17,85,5,medium,46,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0106-RULE_EXTRACTION,rule_extraction,procedure,68,8,70,13,3,medium,67,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0107-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,63,10,31,2,3,high,75,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0108-SOFTWARE_REVIEW,software_review,incident_log,8,28,62,100,4,high,62,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0109-AUDIT_DOCUMENTAL,audit_documental,policy_audit,35,69,74,52,5,high,42,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0110-SOFTWARE_REVIEW,software_review,test_report,62,86,14,31,3,high,40,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0111-PARSER_DOCUMENTAL,parser_documental,checklist,3,35,55,61,3,medium,67,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0112-SOFTWARE_REVIEW,software_review,release_notes,91,22,100,41,2,medium,47,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0113-AUDIT_DOCUMENTAL,audit_documental,evidence_dossier,78,71,71,83,5,high,26,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0114-RULE_EXTRACTION,rule_extraction,procedure,39,66,15,69,1,high,48,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0115-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,47,41,79,93,2,high,44,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0116-RULE_EXTRACTION,rule_extraction,procedure,41,57,47,90,5,high,44,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0117-RULE_EXTRACTION,rule_extraction,acceptance_criteria,68,72,48,87,2,high,31,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0118-RULE_EXTRACTION,rule_extraction,acceptance_criteria,21,74,65,82,4,high,40,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0119-SOFTWARE_REVIEW,software_review,repo_summary,65,96,96,78,5,high,15,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0120-PARSER_DOCUMENTAL,parser_documental,form_record,0,9,12,28,4,low,90,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0121-AUDIT_DOCUMENTAL,audit_documental,policy_audit,7,0,95,100,2,medium,69,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0122-RULE_EXTRACTION,rule_extraction,acceptance_criteria,63,32,75,32,4,medium,54,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0123-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,17,73,68,99,1,medium,38,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0124-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,52,61,51,88,2,low,39,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0125-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,14,89,20,69,3,medium,44,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0126-SOFTWARE_REVIEW,software_review,test_report,81,29,22,8,4,medium,63,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0127-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,61,58,47,40,3,medium,46,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0128-RULE_EXTRACTION,rule_extraction,business_rule_sheet,34,80,62,66,3,medium,37,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0129-AUDIT_DOCUMENTAL,audit_documental,contract_checklist,53,6,52,80,1,high,65,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0130-PARSER_DOCUMENTAL,parser_documental,invoice_receipt,47,96,80,57,3,medium,25,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0131-RULE_EXTRACTION,rule_extraction,policy,3,36,29,2,5,high,79,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0132-AUDIT_DOCUMENTAL,audit_documental,compliance_packet,63,76,94,73,2,medium,25,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
STOCH-0133-RULE_EXTRACTION,rule_extraction,policy,61,92,96,24,5,medium,26,randomized_controlled_no_real_company_data,"['production claim', 'deployment', 'automatic merge', 'credential handling', 'client-facing final decision']"
