case_id,domain,mode,computed_gate,model_gate,delta_score,drd,dzr,hard_blocks,suggestion_confidence,review_priority_score,prep_recommendation,human_decision_ACCEPT_ADJUST_REJECT,human_notes,accepted_evidence_grounding_score,accepted_gate_compliance_score,accepted_claim_boundary_score,accepted_state_vector_reasonableness_score,accepted_delta_reasonableness_score,accepted_drd_dzr_reasonableness_score,accepted_token_expansion_fidelity_score,accepted_next_action_quality_score,accepted_usefulness_score,accepted_false_memory_risk,accepted_hallucination_risk_flag,accepted_over_review_flag,accepted_under_review_flag,accepted_accept_for_calibration_signal,suggested_evidence_grounding_score,suggested_gate_compliance_score,suggested_claim_boundary_score,suggested_state_vector_reasonableness_score,suggested_delta_reasonableness_score,suggested_drd_dzr_reasonableness_score,suggested_token_expansion_fidelity_score,suggested_next_action_quality_score,suggested_usefulness_score,suggested_false_memory_risk,suggested_hallucination_risk_flag,suggested_over_review_flag,suggested_under_review_flag,suggested_accept_for_calibration_signal,case_packet
EXT-EVAL-B01H-031,Governança documental,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4539,0.4426,0.5574,thin_evidence,LOW,14.8617,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-031.md
EXT-EVAL-B01H-002,TIC/SI / ITSM,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4439,0.439,0.561,thin_evidence,LOW,14.8317,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-002.md
EXT-EVAL-B01H-021,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4395,0.4375,0.5625,thin_evidence,LOW,14.8185,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-021.md
EXT-EVAL-B01H-007,VesselFlow / Operação marítima,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4192,0.4144,0.5856,thin_evidence,LOW,14.7576,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.4,2.5,3.8,3.1,3.2,4.1,3.0,3.9,2.9,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-007.md
EXT-EVAL-B01H-026,Pequenos negócios de campo,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.4013,0.4081,0.5919,thin_evidence,LOW,14.7039,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.4,2.5,3.8,3.1,3.2,4.1,3.0,3.9,2.9,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-026.md
EXT-EVAL-B01H-006,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,BLOCKED,0.3866,0.3712,0.6288,thin_evidence,LOW,14.6598,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.3,2.5,3.8,3.5,3.2,4.2,3.0,3.9,3.1,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-006.md
EXT-EVAL-B01H-027,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3685,0.3965,0.6035,thin_evidence,LOW,14.6055,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.4,2.5,3.8,3.2,3.2,4.1,3.0,3.9,2.9,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-027.md
EXT-EVAL-B01H-017,Jurídico / Escritório,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3621,0.3466,0.6534,thin_evidence,LOW,14.5863,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.8,2.5,3.8,3.6,3.2,4.3,3.0,3.9,3.2,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-017.md
EXT-EVAL-B01H-014,Jurídico / Escritório,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3599,0.3617,0.6383,thin_evidence,LOW,14.5797,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.3,2.5,3.8,3.6,3.2,4.2,3.0,3.9,3.1,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-014.md
EXT-EVAL-B01H-025,Pequenos negócios de campo,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3406,0.339,0.661,thin_evidence,LOW,14.5218,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.8,2.5,3.8,3.6,3.2,4.3,3.0,3.9,3.2,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-025.md
EXT-EVAL-B01H-029,Pequenos negócios de campo,STACK_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3183,0.3312,0.6688,thin_evidence,LOW,14.4549,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.8,2.5,3.8,3.7,3.2,4.3,3.0,3.9,3.2,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-029.md
EXT-EVAL-B01H-013,Jurídico / Escritório,PURE_GPT,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3153,0.3301,0.6699,thin_evidence,LOW,14.4459,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.8,2.5,3.8,3.8,3.2,4.3,3.0,3.9,3.3,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-013.md
EXT-EVAL-B01H-015,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3153,0.3301,0.6699,thin_evidence,LOW,14.4459,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.8,2.5,3.8,3.8,3.2,4.3,3.0,3.9,3.3,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-015.md
EXT-EVAL-B01H-019,Financeiro / Administrativo,PURE_GPT,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2274,0.2403,0.7597,thin_evidence,LOW,11.9322,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,2.8,3.8,3.8,4.0,3.8,4.6,3.0,3.5,3.6,LOW,false,false,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-019.md
EXT-EVAL-B01H-018,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,HOLD_HUMAN_REVIEW,0.4444,0.3216,0.6784,thin_evidence,LOW,11.3332,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.0,5.0,3.8,3.0,4.1,4.3,3.0,3.9,3.4,LOW,false,false,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-018.md
EXT-EVAL-B01H-020,Financeiro / Administrativo,STACK_GPT,HUMAN_REVIEW_REQUIRED,HOLD_HUMAN_REVIEW,0.3193,0.2615,0.7385,thin_evidence,LOW,10.9579,REVIEW_REQUIRED,,,,,,,,,,,,,,,,,1.4,5.0,3.8,3.4,4.2,4.5,3.0,3.9,3.6,LOW,false,false,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-020.md
EXT-EVAL-B01H-009,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,HUMAN_REVIEW_REQUIRED,INSUFFICIENT_EVIDENCE,0.3697,0.3678,0.6322,,LOW,4.6091,CHECK_OVER_REVIEW,,,,,,,,,,,,,,,,,2.3,2.5,4.5,3.3,3.2,4.2,3.0,3.9,3.2,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-009.md
EXT-EVAL-B01H-004,TIC/SI / ITSM,PURE_GPT,HUMAN_REVIEW_REQUIRED,BLOCKED,0.3635,0.3339,0.6661,,LOW,4.5905,CHECK_OVER_REVIEW,,,,,,,,,,,,,,,,,3.2,2.5,4.5,3.6,3.2,4.3,3.0,3.9,3.4,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-004.md
EXT-EVAL-B01H-011,VesselFlow / Operação marítima,STACK_GPT,HUMAN_REVIEW_REQUIRED,BLOCKED,0.3512,0.3295,0.6705,,LOW,4.5536,CHECK_OVER_REVIEW,,,,,,,,,,,,,,,,,3.2,2.5,4.5,3.6,3.2,4.3,3.0,3.9,3.4,LOW,false,true,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-011.md
EXT-EVAL-B01H-008,VesselFlow / Operação marítima,STACK_GPT,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2876,0.28,0.72,,MEDIUM,2.1128,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,2.3,3.8,4.5,3.5,3.8,4.4,3.0,3.5,3.5,LOW,false,false,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-008.md
EXT-EVAL-B01H-010,VesselFlow / Operação marítima,PURE_GPT,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2736,0.2751,0.7249,,MEDIUM,2.0708,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,2.3,3.8,4.5,3.5,3.8,4.5,3.0,3.5,3.5,LOW,false,false,false,false,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-010.md
EXT-EVAL-B01H-005,TIC/SI / ITSM,STACK_GPT,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2545,0.2366,0.7634,,MEDIUM,2.0135,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,3.2,3.8,4.5,3.8,3.8,4.6,3.0,3.5,3.7,LOW,false,false,false,true,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-005.md
EXT-EVAL-B01H-034,Governança documental,PURE_GPT,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2303,0.2122,0.7878,,MEDIUM,1.9409,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,3.6,3.8,4.5,3.9,3.8,4.6,3.0,3.5,3.8,LOW,false,false,false,true,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-034.md
EXT-EVAL-B01H-012,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2299,0.2279,0.7721,,MEDIUM,1.9397,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,3.2,3.8,4.5,3.9,3.8,4.6,3.0,3.5,3.8,LOW,false,false,false,true,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-012.md
EXT-EVAL-B01H-036,Governança documental,CASULO_EXOCORTEX_STACK,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2252,0.2262,0.7738,,MEDIUM,1.9256,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,3.2,3.8,4.5,3.8,3.8,4.6,3.0,3.5,3.7,LOW,false,false,false,true,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-036.md
EXT-EVAL-B01H-035,Governança documental,STACK_GPT,OBSERVATION_REQUIRED,HOLD_HUMAN_REVIEW,0.2073,0.2199,0.7801,,MEDIUM,1.8719,CHECK_AND_ACCEPT_OR_ADJUST,,,,,,,,,,,,,,,,,3.2,3.8,4.5,3.9,3.8,4.6,3.0,3.5,3.8,LOW,false,false,false,true,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-035.md
