case_id,execution_id,scenario_id,domain,mode,model_gate,computed_gate,delta_score,delta_band,delta_gate_mismatch,drd,dzr,delta_zero_ready,hard_blocks,trajectory_status,velocity_ready,acceleration_ready,candidate_tokens_v0_3,case_packet,suggested_external_evidence_grounding_score,suggested_external_gate_compliance_score,suggested_external_claim_boundary_score,suggested_external_state_vector_reasonableness_score,suggested_external_delta_reasonableness_score,suggested_external_drd_dzr_reasonableness_score,suggested_external_token_expansion_fidelity_score,suggested_external_next_action_quality_score,suggested_external_usefulness_score,suggested_external_false_memory_risk,suggested_external_hallucination_risk_flag,suggested_external_over_review_flag,suggested_external_under_review_flag,suggested_external_accept_for_calibration_signal,suggestion_confidence,review_priority_score,assistant_draft_only,human_acceptance_required,must_not_copy_without_review
EXT-EVAL-B01H-011,vesselflow_operacao_maritima_02__stack_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,STACK_GPT,BLOCKED,HUMAN_REVIEW_REQUIRED,0.3512,0.31-0.60,0.5,0.3295,0.6705,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-011.md,3.2,2.5,4.5,3.6,3.2,4.3,3.0,3.9,3.4,LOW,false,true,false,false,LOW,4.5536,true,true,true
EXT-EVAL-B01H-012,vesselflow_operacao_maritima_02__casulo_exocortex_stack,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2299,0.11-0.30,0.25,0.2279,0.7721,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-012.md,3.2,3.8,4.5,3.9,3.8,4.6,3.0,3.5,3.8,LOW,false,false,false,true,MEDIUM,1.9397,true,true,true
EXT-EVAL-B01H-013,juridico_escritorio_01__pure_gpt,juridico_escritorio_01,Jurídico / Escritório,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3153,0.31-0.60,0.5,0.3301,0.6699,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-013.md,2.8,2.5,3.8,3.8,3.2,4.3,3.0,3.9,3.3,LOW,false,true,false,false,LOW,14.4459,true,true,true
EXT-EVAL-B01H-014,juridico_escritorio_01__stack_gpt,juridico_escritorio_01,Jurídico / Escritório,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3599,0.31-0.60,0.5,0.3617,0.6383,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-014.md,2.3,2.5,3.8,3.6,3.2,4.2,3.0,3.9,3.1,LOW,false,true,false,false,LOW,14.5797,true,true,true
EXT-EVAL-B01H-015,juridico_escritorio_01__casulo_exocortex_stack,juridico_escritorio_01,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3153,0.31-0.60,0.5,0.3301,0.6699,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-015.md,2.8,2.5,3.8,3.8,3.2,4.3,3.0,3.9,3.3,LOW,false,true,false,false,LOW,14.4459,true,true,true
EXT-EVAL-B01H-016,juridico_escritorio_02__pure_gpt,juridico_escritorio_02,Jurídico / Escritório,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.5168,0.31-0.60,0.5,0.4648,0.5352,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-016.md,1.0,2.5,3.8,2.8,3.1,3.9,3.0,3.9,2.7,LOW,false,true,false,false,LOW,15.0504,true,true,true
EXT-EVAL-B01H-017,juridico_escritorio_02__stack_gpt,juridico_escritorio_02,Jurídico / Escritório,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3621,0.31-0.60,0.5,0.3466,0.6534,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-017.md,2.8,2.5,3.8,3.6,3.2,4.3,3.0,3.9,3.2,LOW,false,true,false,false,LOW,14.5863,true,true,true
EXT-EVAL-B01H-018,juridico_escritorio_02__casulo_exocortex_stack,juridico_escritorio_02,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,HUMAN_REVIEW_REQUIRED,0.4444,0.31-0.60,0.0,0.3216,0.6784,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-018.md,1.0,5.0,3.8,3.0,4.1,4.3,3.0,3.9,3.4,LOW,false,false,false,false,LOW,11.3332,true,true,true
EXT-EVAL-B01H-019,financeiro_administrativo_01__pure_gpt,financeiro_administrativo_01,Financeiro / Administrativo,PURE_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2274,0.11-0.30,0.25,0.2403,0.7597,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-019.md,2.8,3.8,3.8,4.0,3.8,4.6,3.0,3.5,3.6,LOW,false,false,false,false,LOW,11.9322,true,true,true
EXT-EVAL-B01H-020,financeiro_administrativo_01__stack_gpt,financeiro_administrativo_01,Financeiro / Administrativo,STACK_GPT,HOLD_HUMAN_REVIEW,HUMAN_REVIEW_REQUIRED,0.3193,0.31-0.60,0.0,0.2615,0.7385,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-020.md,1.4,5.0,3.8,3.4,4.2,4.5,3.0,3.9,3.6,LOW,false,false,false,false,LOW,10.9579,true,true,true
EXT-EVAL-B01H-021,financeiro_administrativo_01__casulo_exocortex_stack,financeiro_administrativo_01,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4395,0.31-0.60,0.5,0.4375,0.5625,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-021.md,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,LOW,14.8185,true,true,true
EXT-EVAL-B01H-022,financeiro_administrativo_02__pure_gpt,financeiro_administrativo_02,Financeiro / Administrativo,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4823,0.31-0.60,0.5,0.4526,0.5474,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-022.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.9469,true,true,true
EXT-EVAL-B01H-023,financeiro_administrativo_02__stack_gpt,financeiro_administrativo_02,Financeiro / Administrativo,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.48,0.31-0.60,0.5,0.4518,0.5482,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-023.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.94,true,true,true
EXT-EVAL-B01H-024,financeiro_administrativo_02__casulo_exocortex_stack,financeiro_administrativo_02,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4799,0.31-0.60,0.5,0.4517,0.5483,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-024.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.9397,true,true,true
EXT-EVAL-B01H-025,pequenos_negocios_de_campo_01__pure_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3406,0.31-0.60,0.5,0.339,0.661,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-025.md,2.8,2.5,3.8,3.6,3.2,4.3,3.0,3.9,3.2,LOW,false,true,false,false,LOW,14.5218,true,true,true
EXT-EVAL-B01H-026,pequenos_negocios_de_campo_01__stack_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4013,0.31-0.60,0.5,0.4081,0.5919,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-026.md,1.4,2.5,3.8,3.1,3.2,4.1,3.0,3.9,2.9,LOW,false,true,false,false,LOW,14.7039,true,true,true
EXT-EVAL-B01H-027,pequenos_negocios_de_campo_01__casulo_exocortex_stack,pequenos_negocios_de_campo_01,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3685,0.31-0.60,0.5,0.3965,0.6035,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-027.md,1.4,2.5,3.8,3.2,3.2,4.1,3.0,3.9,2.9,LOW,false,true,false,false,LOW,14.6055,true,true,true
EXT-EVAL-B01H-028,pequenos_negocios_de_campo_02__pure_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4767,0.31-0.60,0.5,0.4347,0.5653,False,blocked_state_or_production_block|thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|PRODUCTION_BLOCKED|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-028.md,1.4,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.9,LOW,false,true,false,false,LOW,24.9301,true,true,true
EXT-EVAL-B01H-029,pequenos_negocios_de_campo_02__stack_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3183,0.31-0.60,0.5,0.3312,0.6688,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-029.md,2.8,2.5,3.8,3.7,3.2,4.3,3.0,3.9,3.2,LOW,false,true,false,false,LOW,14.4549,true,true,true
EXT-EVAL-B01H-030,pequenos_negocios_de_campo_02__casulo_exocortex_stack,pequenos_negocios_de_campo_02,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.474,0.31-0.60,0.5,0.4496,0.5504,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-030.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.922,true,true,true
EXT-EVAL-B01H-031,governanca_documental_01__pure_gpt,governanca_documental_01,Governança documental,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4539,0.31-0.60,0.5,0.4426,0.5574,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-031.md,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,LOW,14.8617,true,true,true
EXT-EVAL-B01H-032,governanca_documental_01__stack_gpt,governanca_documental_01,Governança documental,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4988,0.31-0.60,0.5,0.4584,0.5416,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-032.md,1.0,2.5,3.8,2.8,3.1,4.0,3.0,3.9,2.7,LOW,false,true,false,false,LOW,14.9964,true,true,true
EXT-EVAL-B01H-033,governanca_documental_01__casulo_exocortex_stack,governanca_documental_01,Governança documental,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4548,0.31-0.60,0.5,0.4429,0.5571,False,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-033.md,1.0,2.5,3.8,3.0,3.1,4.0,3.0,3.9,2.8,LOW,false,true,false,false,LOW,14.8644,true,true,true
EXT-EVAL-B01H-034,governanca_documental_02__pure_gpt,governanca_documental_02,Governança documental,PURE_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2303,0.11-0.30,0.25,0.2122,0.7878,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-034.md,3.6,3.8,4.5,3.9,3.8,4.6,3.0,3.5,3.8,LOW,false,false,false,true,MEDIUM,1.9409,true,true,true
EXT-EVAL-B01H-035,governanca_documental_02__stack_gpt,governanca_documental_02,Governança documental,STACK_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2073,0.11-0.30,0.25,0.2199,0.7801,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-035.md,3.2,3.8,4.5,3.9,3.8,4.6,3.0,3.5,3.8,LOW,false,false,false,true,MEDIUM,1.8719,true,true,true
EXT-EVAL-B01H-036,governanca_documental_02__casulo_exocortex_stack,governanca_documental_02,Governança documental,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2252,0.11-0.30,0.25,0.2262,0.7738,False,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,product/evaluation/casulo_delta_zero_external_evaluator_cases/EXT-EVAL-B01H-036.md,3.2,3.8,4.5,3.8,3.8,4.6,3.0,3.5,3.7,LOW,false,false,false,true,MEDIUM,1.9256,true,true,true
