case_id,execution_id,scenario_id,domain,mode,state_payload_id,risk_level,evidence_level,gate,review_ready,candidate_token_count,candidate_tokens,pre_external_priority_score,pre_external_ohri_proxy,pre_external_oqi_proxy,pre_external_zpi_proxy,external_evidence_grounding_score,external_gate_compliance_score,external_claim_boundary_score,external_state_completeness_score,external_next_action_quality_score,external_usefulness_score,external_false_memory_risk,external_over_review_flag,external_under_review_flag,external_hallucination_risk_flag,external_accept_for_calibration_signal,external_reviewer_notes
EXT-EVAL-B01H-011,vesselflow_operacao_maritima_02__stack_gpt,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,STACK_GPT,P0STATE-EXT-EVAL-B01H-011,HIGH,PARTIAL,BLOCKED,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2653,0.86,0.8999,,,,,,,,,,,,
EXT-EVAL-B01H-012,vesselflow_operacao_maritima_02__casulo_exocortex_stack,vesselflow_operacao_maritima_02,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-012,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.296,0.212,0.86,0.8995,,,,,,,,,,,,
EXT-EVAL-B01H-013,juridico_escritorio_01__pure_gpt,juridico_escritorio_01,Jurídico / Escritório,PURE_GPT,P0STATE-EXT-EVAL-B01H-013,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.132,0.1913,0.91,0.9281,,,,,,,,,,,,
EXT-EVAL-B01H-014,juridico_escritorio_01__stack_gpt,juridico_escritorio_01,Jurídico / Escritório,STACK_GPT,P0STATE-EXT-EVAL-B01H-014,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2653,0.86,0.8969,,,,,,,,,,,,
EXT-EVAL-B01H-015,juridico_escritorio_01__casulo_exocortex_stack,juridico_escritorio_01,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-015,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.212,0.1913,0.91,0.9288,,,,,,,,,,,,
EXT-EVAL-B01H-016,juridico_escritorio_02__pure_gpt,juridico_escritorio_02,Jurídico / Escritório,PURE_GPT,P0STATE-EXT-EVAL-B01H-016,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7862,,,,,,,,,,,,
EXT-EVAL-B01H-017,juridico_escritorio_02__stack_gpt,juridico_escritorio_02,Jurídico / Escritório,STACK_GPT,P0STATE-EXT-EVAL-B01H-017,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2933,0.88,0.9069,,,,,,,,,,,,
EXT-EVAL-B01H-018,juridico_escritorio_02__casulo_exocortex_stack,juridico_escritorio_02,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-018,MEDIUM_HIGH,THIN,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.572,0.528,0.68,0.7865,,,,,,,,,,,,
EXT-EVAL-B01H-019,financeiro_administrativo_01__pure_gpt,financeiro_administrativo_01,Financeiro / Administrativo,PURE_GPT,P0STATE-EXT-EVAL-B01H-019,MEDIUM_HIGH,THIN,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.332,0.1913,0.91,0.9295,,,,,,,,,,,,
EXT-EVAL-B01H-020,financeiro_administrativo_01__stack_gpt,financeiro_administrativo_01,Financeiro / Administrativo,STACK_GPT,P0STATE-EXT-EVAL-B01H-020,MEDIUM_HIGH,THIN,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.428,0.3293,0.73,0.8194,,,,,,,,,,,,
EXT-EVAL-B01H-021,financeiro_administrativo_01__casulo_exocortex_stack,financeiro_administrativo_01,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-021,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.452,0.4213,0.68,0.7889,,,,,,,,,,,,
EXT-EVAL-B01H-022,financeiro_administrativo_02__pure_gpt,financeiro_administrativo_02,Financeiro / Administrativo,PURE_GPT,P0STATE-EXT-EVAL-B01H-022,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.596,0.528,0.65,0.7663,,,,,,,,,,,,
EXT-EVAL-B01H-023,financeiro_administrativo_02__stack_gpt,financeiro_administrativo_02,Financeiro / Administrativo,STACK_GPT,P0STATE-EXT-EVAL-B01H-023,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7859,,,,,,,,,,,,
EXT-EVAL-B01H-024,financeiro_administrativo_02__casulo_exocortex_stack,financeiro_administrativo_02,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-024,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7885,,,,,,,,,,,,
EXT-EVAL-B01H-025,pequenos_negocios_de_campo_01__pure_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,PURE_GPT,P0STATE-EXT-EVAL-B01H-025,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.356,0.2933,0.88,0.9057,,,,,,,,,,,,
EXT-EVAL-B01H-026,pequenos_negocios_de_campo_01__stack_gpt,pequenos_negocios_de_campo_01,Pequenos negócios de campo,STACK_GPT,P0STATE-EXT-EVAL-B01H-026,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.428,0.3893,0.73,0.8161,,,,,,,,,,,,
EXT-EVAL-B01H-027,pequenos_negocios_de_campo_01__casulo_exocortex_stack,pequenos_negocios_de_campo_01,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-027,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.228,0.3293,0.73,0.8186,,,,,,,,,,,,
EXT-EVAL-B01H-028,pequenos_negocios_de_campo_02__pure_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,PURE_GPT,P0STATE-EXT-EVAL-B01H-028,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,4,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|PRODUCTION_BLOCKED|READ_ONLY_STATE,0.548,0.496,0.73,0.8162,,,,,,,,,,,,
EXT-EVAL-B01H-029,pequenos_negocios_de_campo_02__stack_gpt,pequenos_negocios_de_campo_02,Pequenos negócios de campo,STACK_GPT,P0STATE-EXT-EVAL-B01H-029,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.296,0.24,0.88,0.9076,,,,,,,,,,,,
EXT-EVAL-B01H-030,pequenos_negocios_de_campo_02__casulo_exocortex_stack,pequenos_negocios_de_campo_02,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-030,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.572,0.528,0.68,0.7881,,,,,,,,,,,,
EXT-EVAL-B01H-031,governanca_documental_01__pure_gpt,governanca_documental_01,Governança documental,PURE_GPT,P0STATE-EXT-EVAL-B01H-031,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.452,0.4213,0.68,0.7881,,,,,,,,,,,,
EXT-EVAL-B01H-032,governanca_documental_01__stack_gpt,governanca_documental_01,Governança documental,STACK_GPT,P0STATE-EXT-EVAL-B01H-032,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.548,0.528,0.71,0.8083,,,,,,,,,,,,
EXT-EVAL-B01H-033,governanca_documental_01__casulo_exocortex_stack,governanca_documental_01,Governança documental,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-033,MEDIUM_HIGH,THIN,INSUFFICIENT_EVIDENCE,True,3,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|READ_ONLY_STATE,0.332,0.4213,0.68,0.789,,,,,,,,,,,,
EXT-EVAL-B01H-034,governanca_documental_02__pure_gpt,governanca_documental_02,Governança documental,PURE_GPT,P0STATE-EXT-EVAL-B01H-034,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.332,0.2933,0.91,0.9278,,,,,,,,,,,,
EXT-EVAL-B01H-035,governanca_documental_02__stack_gpt,governanca_documental_02,Governança documental,STACK_GPT,P0STATE-EXT-EVAL-B01H-035,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.32,0.212,0.83,0.8772,,,,,,,,,,,,
EXT-EVAL-B01H-036,governanca_documental_02__casulo_exocortex_stack,governanca_documental_02,Governança documental,CASULO_EXOCORTEX_STACK,P0STATE-EXT-EVAL-B01H-036,MEDIUM_HIGH,PARTIAL,HOLD_HUMAN_REVIEW,True,2,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN,0.356,0.2653,0.86,0.8986,,,,,,,,,,,,
