case_id,domain,mode,approved_lot,human_decision,accepted_accept_for_calibration_signal,accepted_over_review_flag,accepted_hallucination_risk_flag,accepted_usefulness_score,human_notes
EXT-EVAL-B01H-007,VesselFlow / Operação marítima,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.9,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-026,Pequenos negócios de campo,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.9,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-006,TIC/SI / ITSM,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.1,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-027,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,2.9,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-017,Jurídico / Escritório,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.2,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-014,Jurídico / Escritório,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.1,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-025,Pequenos negócios de campo,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.2,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-029,Pequenos negócios de campo,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.2,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-013,Jurídico / Escritório,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.3,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-015,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,true,false,3.3,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-019,Financeiro / Administrativo,PURE_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,false,false,3.6,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-018,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,false,false,3.4,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-020,Financeiro / Administrativo,STACK_GPT,D_NEGATIVE_CONTROL_NOT_CALIBRATION,ACCEPT,false,false,false,3.6,"User approved assistant recommendation. Lot D: accepted negative/control evidence, not calibration-positive."
EXT-EVAL-B01H-009,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,C_OVER_REVIEW_NOT_CALIBRATION,ACCEPT,false,true,false,3.2,"User approved assistant recommendation. Lot C: accepted over-review/control case, not calibration-positive."
EXT-EVAL-B01H-004,TIC/SI / ITSM,PURE_GPT,C_OVER_REVIEW_NOT_CALIBRATION,ACCEPT,false,true,false,3.4,"User approved assistant recommendation. Lot C: accepted over-review/control case, not calibration-positive."
EXT-EVAL-B01H-011,VesselFlow / Operação marítima,STACK_GPT,C_OVER_REVIEW_NOT_CALIBRATION,ACCEPT,false,true,false,3.4,"User approved assistant recommendation. Lot C: accepted over-review/control case, not calibration-positive."
EXT-EVAL-B01H-008,VesselFlow / Operação marítima,STACK_GPT,B_ACCEPT_NOT_CALIBRATION,ACCEPT,false,false,false,3.5,"User approved assistant recommendation. Lot B: accepted score, not calibration-positive."
EXT-EVAL-B01H-010,VesselFlow / Operação marítima,PURE_GPT,B_ACCEPT_NOT_CALIBRATION,ACCEPT,false,false,false,3.5,"User approved assistant recommendation. Lot B: accepted score, not calibration-positive."
EXT-EVAL-B01H-005,TIC/SI / ITSM,STACK_GPT,A_CALIBRATION_TRUE,ACCEPT,true,false,false,3.7,User approved assistant recommendation. Lot A: accepted as internal calibration-positive case; claims remain blocked.
EXT-EVAL-B01H-034,Governança documental,PURE_GPT,A_CALIBRATION_TRUE,ACCEPT,true,false,false,3.8,User approved assistant recommendation. Lot A: accepted as internal calibration-positive case; claims remain blocked.
EXT-EVAL-B01H-012,VesselFlow / Operação marítima,CASULO_EXOCORTEX_STACK,A_CALIBRATION_TRUE,ACCEPT,true,false,false,3.8,User approved assistant recommendation. Lot A: accepted as internal calibration-positive case; claims remain blocked.
EXT-EVAL-B01H-036,Governança documental,CASULO_EXOCORTEX_STACK,A_CALIBRATION_TRUE,ACCEPT,true,false,false,3.7,User approved assistant recommendation. Lot A: accepted as internal calibration-positive case; claims remain blocked.
EXT-EVAL-B01H-035,Governança documental,STACK_GPT,A_CALIBRATION_TRUE,ACCEPT,true,false,false,3.8,User approved assistant recommendation. Lot A: accepted as internal calibration-positive case; claims remain blocked.
