case_id,execution_id,domain,mode,model_gate,computed_gate,delta_score,delta_band,delta_gate_mismatch,drd,dzr,delta_zero_ready,hard_block_count,hard_blocks,trajectory_status,velocity_ready,acceleration_ready,candidate_tokens_v0_3,review_status
EXT-EVAL-B01H-015,juridico_escritorio_01__casulo_exocortex_stack,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3153,0.31-0.60,0.5,0.3301,0.6699,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-016,juridico_escritorio_02__pure_gpt,Jurídico / Escritório,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.5168,0.31-0.60,0.5,0.4648,0.5352,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-017,juridico_escritorio_02__stack_gpt,Jurídico / Escritório,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3621,0.31-0.60,0.5,0.3466,0.6534,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-018,juridico_escritorio_02__casulo_exocortex_stack,Jurídico / Escritório,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,HUMAN_REVIEW_REQUIRED,0.4444,0.31-0.60,0.0,0.3216,0.6784,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-019,financeiro_administrativo_01__pure_gpt,Financeiro / Administrativo,PURE_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2274,0.11-0.30,0.25,0.2403,0.7597,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-020,financeiro_administrativo_01__stack_gpt,Financeiro / Administrativo,STACK_GPT,HOLD_HUMAN_REVIEW,HUMAN_REVIEW_REQUIRED,0.3193,0.31-0.60,0.0,0.2615,0.7385,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-021,financeiro_administrativo_01__casulo_exocortex_stack,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4395,0.31-0.60,0.5,0.4375,0.5625,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-022,financeiro_administrativo_02__pure_gpt,Financeiro / Administrativo,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4823,0.31-0.60,0.5,0.4526,0.5474,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-023,financeiro_administrativo_02__stack_gpt,Financeiro / Administrativo,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.48,0.31-0.60,0.5,0.4518,0.5482,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-024,financeiro_administrativo_02__casulo_exocortex_stack,Financeiro / Administrativo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4799,0.31-0.60,0.5,0.4517,0.5483,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-025,pequenos_negocios_de_campo_01__pure_gpt,Pequenos negócios de campo,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3406,0.31-0.60,0.5,0.339,0.661,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-026,pequenos_negocios_de_campo_01__stack_gpt,Pequenos negócios de campo,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4013,0.31-0.60,0.5,0.4081,0.5919,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-027,pequenos_negocios_de_campo_01__casulo_exocortex_stack,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3685,0.31-0.60,0.5,0.3965,0.6035,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-028,pequenos_negocios_de_campo_02__pure_gpt,Pequenos negócios de campo,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4767,0.31-0.60,0.5,0.4347,0.5653,False,2,blocked_state_or_production_block|thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|PRODUCTION_BLOCKED|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-029,pequenos_negocios_de_campo_02__stack_gpt,Pequenos negócios de campo,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.3183,0.31-0.60,0.5,0.3312,0.6688,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-030,pequenos_negocios_de_campo_02__casulo_exocortex_stack,Pequenos negócios de campo,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.474,0.31-0.60,0.5,0.4496,0.5504,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-031,governanca_documental_01__pure_gpt,Governança documental,PURE_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4539,0.31-0.60,0.5,0.4426,0.5574,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-032,governanca_documental_01__stack_gpt,Governança documental,STACK_GPT,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4988,0.31-0.60,0.5,0.4584,0.5416,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-033,governanca_documental_01__casulo_exocortex_stack,Governança documental,CASULO_EXOCORTEX_STACK,INSUFFICIENT_EVIDENCE,HUMAN_REVIEW_REQUIRED,0.4548,0.31-0.60,0.5,0.4429,0.5571,False,1,thin_evidence,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|DELTA_MEDIUM|EVIDENCE_THIN|READ_ONLY_STATE,HARD_BLOCK_REVIEW_REQUIRED
EXT-EVAL-B01H-034,governanca_documental_02__pure_gpt,Governança documental,PURE_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2303,0.11-0.30,0.25,0.2122,0.7878,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
EXT-EVAL-B01H-035,governanca_documental_02__stack_gpt,Governança documental,STACK_GPT,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2073,0.11-0.30,0.25,0.2199,0.7801,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
EXT-EVAL-B01H-036,governanca_documental_02__casulo_exocortex_stack,Governança documental,CASULO_EXOCORTEX_STACK,HOLD_HUMAN_REVIEW,OBSERVATION_REQUIRED,0.2252,0.11-0.30,0.25,0.2262,0.7738,False,0,,T0_ONLY,False,False,CHANGE_REVIEW_REQUIRED|EVIDENCE_THIN|STATE_OBSERVATION,LOWER_DELTA_BUT_STILL_EXTERNAL_REVIEW_REQUIRED
